variable,missing,complete,n,mean,sd,p0,p25,p50,p75,p100,hist
event_import_id,1562,9471,11033,4798.56,2789.13,-111.17,2386.5,4773,7189.5,9669,▇▇▇▇▇▇▇▇
gazeteer_distance,1562,9471,11033,11.87,15.6,3E-05,2.36,6.25,15.82,215.45,▇▁▁▁▁▁▁▁
latitude,0,11033,11033,25.88,20.42,-46.77,13.92,30.53,40.87,72.63,▁▁▁▃▅▇▅▁
longitude,0,11033,11033,2.52,100.91,-179.98,-107.87,19.69,93.95,179.99,▁▇▅▁▂▆▇▁
