"","landslide_category","landslide_trigger","landslide_size","landslide_setting","fatality_count","injury_count","country_name","year"
"2934","landslide","unknown","unknown","above_road",0,0,"United States","16"
"2935","landslide","rain","small","above_road",0,0,NA,"17"
"2936","landslide","continuous_rain","medium","above_road",0,0,"India","15"
"2937","mudslide","tropical_cyclone","medium","unknown",1,NA,"Taiwan","07"
"2938","rock_fall","unknown","medium","above_road",0,0,"United States","15"
"2939","landslide","unknown","unknown","above_road",0,0,"United States","14"
"2940","landslide","downpour","medium","unknown",0,NA,"Colombia","11"
"2941","landslide","downpour","large","unknown",0,NA,"Malaysia","11"
"2942","landslide","downpour","medium","unknown",0,NA,"Trinidad and Tobago","10"
"2943","landslide","downpour","small","unknown",0,NA,"Trinidad and Tobago","10"
"2944","unknown","unknown","medium","mine",0,0,"Liberia","15"
"2945","rock_fall","snowfall","medium","above_road",2,20,"France","14"
"2946","landslide","unknown","small","unknown",0,0,"United Kingdom","14"
"2947","riverbank","unknown","medium","above_river",0,4,"Nepal","16"
"2948","landslide","rain","medium","unknown",NA,NA,"India","13"
"2949","mudslide","tropical_cyclone","small","above_road",0,0,"Guatemala","15"
"2950","landslide","downpour","medium","burned_area",7,NA,"Nepal","10"
"2951","landslide","downpour","large","above_river",0,0,"Nepal","16"
"2952","mudslide","rain","small","natural_slope",0,0,"United States","15"
"2953","landslide","downpour","medium","unknown",1,NA,"Nepal","09"
"2954","landslide","tropical_cyclone","medium","above_road",0,0,"Philippines","16"
"2955","landslide","downpour","small","unknown",0,NA,"Nepal","11"
"2956","landslide","continuous_rain","medium","above_road",0,2,"Italy","14"
"2957","landslide","unknown","medium","unknown",NA,NA,"India","13"
"2958","landslide","rain","medium","unknown",0,NA,"Bosnia and Herzegovina","10"
"2959","landslide","downpour","large","unknown",15,NA,"India","09"
"2960","rock_fall","downpour","medium","unknown",0,NA,"Iran","10"
"2961","landslide","rain","medium","above_road",5,6,"Nepal","15"
"2962","landslide","downpour","medium","unknown",0,NA,"India","10"
"2963","landslide","rain","medium","unknown",3,NA,"China","12"
"2964","mudslide","rain","medium","above_road",0,0,"United States","15"
"2965","landslide","downpour","medium","unknown",0,NA,"Philippines","12"
"2966","landslide","tropical_cyclone","medium","unknown",0,0,"Philippines","14"
"2967","landslide","monsoon","small","above_road",0,0,"Pakistan","15"
"2968","landslide","rain","large","unknown",NA,NA,"Indonesia","13"
"2969","landslide","tropical_cyclone","medium","above_road",0,0,"Philippines","15"
"2970","landslide","downpour","medium","unknown",1,NA,"Nepal","09"
"2971","landslide","downpour","medium","urban",0,0,"Panama","15"
"2972","landslide","continuous_rain","small","above_road",0,0,"South Africa","15"
"2973","landslide","rain","small","unknown",0,NA,"United States","09"
"2974","landslide","unknown","unknown","above_road",0,0,"United States","15"
"2975","landslide","downpour","medium","unknown",0,NA,"Vietnam","10"
