Country Name,Country Code,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Jordan,JOR,6193191,6489822,6821116,7182390,7574943,7992573,8413464,8809306,9159302,9455802
Japan,JPN,128001000,128063000,128047000,128070000,127833000,127629000,127445000,127276000,127141000,126994511
Kazakhstan,KAZ,15484192,15674000,16092822,16321872,16557201,16792089,17035550,17288285,17542806,17794055
Kenya,KEN,38085909,39148416,40237204,41350152,42486839,43646629,44826849,46024250,47236259,48461567
Kyrgyz Republic,KGZ,5268400,5318700,5383300,5447900,5514600,5607200,5719600,5835500,5956900,6079500
Cambodia,KHM,13676693,13880509,14090208,14308740,14537886,14776866,15022692,15270790,15517635,15762370
Kiribati,KIR,96311,98440,100568,102652,104656,106613,108535,110458,112407,114395
St. Kitts and Nevis,KNA,49783,50332,50886,51445,52006,52591,53169,53739,54288,54821
"Korea, Rep.",KOR,48683638,49054708,49307835,49554112,49936638,50199853,50428893,50746659,51014947,51245707
Kuwait,KWT,2503410,2652340,2818939,2998083,3191051,3395556,3598385,3782450,3935794,4052584
Latin America & Caribbean (excluding high income),LAC,505365856,511896377,518406797,524870761,531283625,537645733,543940758,550149862,556257851,562254848
Lao PDR,LAO,5949787,6052190,6152036,6246274,6333487,6415169,6494557,6576397,6663967,6758353
Lebanon,LBN,4086466,4111047,4183156,4337141,4588368,4916404,5276102,5603279,5851479,6006668
Liberia,LBR,3512932,3662993,3811528,3948125,4070167,4181563,4286291,4390737,4499621,4613823
Libya,LBY,5970362,6053078,6121053,6169140,6193501,6198258,6195970,6204108,6234955,6293253
St. Lucia,LCA,167288,169220,171022,172580,173832,174835,175660,176421,177206,178015
Latin America & Caribbean,LCN,574994397,582179826,589349327,596478519,603537118,610547919,617495658,624335544,631062657,637663890
Least developed countries: UN classification,LDC,790978141,809730997,828953320,848791962,869298106,890423474,912093996,934192321,956631108,979387925
Low income,LIC,564514253,580229110,596172925,612274687,628504663,644901894,661550623,678572076,696058453,714022293
Liechtenstein,LIE,35322,35541,35766,36003,36264,36545,36834,37127,37403,37666
Sri Lanka,LKA,19810789,19945832,20075086,20198353,20315017,20425000,20585000,20771000,20966000,21203000
Lower middle income,LMC,2559728298,2599821177,2640211692,2681264749,2722672277,2764105969,2805845772,2847559084,2889349899,2931075528
Low & middle income,LMY,5511067338,5584333697,5658778430,5734082511,5810352625,5887499549,5965580605,6044110924,6122845409,6202019744
Lesotho,LSO,1982287,1999930,2019209,2040551,2064166,2089928,2117361,2145785,2174645,2203821
